study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Poster,0,0,0,1.985,3.985588459,,,,,,,,,,,,0,0,0,14,,,,,0.026216916,,0.012914916,0.026216916,0.026216916,4.008578583,1.985,3.985588459,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Keys,1,1,0,1.985,0.447472292,,,,,,,,,,,,0,1,1,13,,,,,4.017478208,,4.011775416,4.017478208,4.017478208,4.46472125,1.985,0.447472292,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Laptop,2,2,0,1.985,0.341059125,,,,,,,,,,,,0,2,2,5,,,,,4.47450475,,4.46817475,4.47450475,4.47450475,4.814864666,1.985,0.341059125,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Mouse,3,3,0,1.985,0.274561,,,,,,,,,,,,0,3,3,8,,,,,4.82449875,,4.817524333,4.82449875,4.82449875,5.097579833,1.985,0.274561,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
marble,4,4,0,1.985,0.165967792,,,,,,,,,,,,0,4,4,3,,,,,5.107997041,,5.099502708,5.107997041,5.107997041,5.275190916,1.985,0.165967792,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
board,5,5,0,1.985,0.220583167,,,,,,,,,,,,0,5,5,4,,,,,5.2832405,,5.277763958,5.2832405,5.2832405,5.508659458,1.985,0.220583167,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Case,6,6,0,1.985,0.221716833,,,,,,,,,,,,0,6,6,10,,,,,5.516180291,,5.510492958,5.516180291,5.516180291,5.741876333,1.985,0.221716833,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Cruise,7,7,0,1.985,0.198387209,,,,,,,,,,,,0,7,7,11,,,,,5.749380208,,5.743850916,5.749380208,5.749380208,5.947839375,1.985,0.198387209,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Police,8,8,0,1.985,0.209517417,,,,,,,,,,,,0,8,8,12,,,,,5.958059708,,5.949759041,5.958059708,5.958059708,6.16491625,1.985,0.209517417,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
cushion,9,9,0,1.985,0.207561291,,,,,,,,,,,,0,9,9,1,,,,,6.174458291,,6.168060375,6.174458291,6.174458291,6.3813625,1.985,0.207561291,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
book,10,10,0,1.985,0.20932825,,,,,,,,,,,,0,10,10,0,,,,,6.391255791,,6.383104166,6.391255791,6.391255791,6.598263958,1.985,0.20932825,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
T-shirt,11,11,0,1.985,0.207909875,,,,,,,,,,,,0,11,11,7,,,,,6.6078585,,6.601179916,6.6078585,6.6078585,6.814741541,1.985,0.207909875,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Chart,12,12,0,1.985,0.281851417,,,,,,,,,,,,0,12,12,6,,,,,6.824452791,,6.816613833,6.824452791,6.824452791,7.108577125,1.985,0.281851417,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
Pastry,13,13,0,1.985,0.182020875,,,,,,,,,,,,0,13,13,9,,,,,7.116223083,,7.110518,7.116223083,7.116223083,7.298152291,1.985,0.182020875,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
phone,14,14,0,1.985,0.291990958,,,,,,,,,,,,0,14,14,2,,,,,7.307794958,,7.300079083,7.307794958,7.307794958,7.597774875,1.985,0.291990958,,,,,,,,,,,,,,,,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,0,0,0,,,_ou_e,mouse,old,,[-0.25375],[-0.2975],[1],[0],[0],[0.051015000000006694],[None],,,,,0,0,0,3,7.617017041,,,,,,,,7.608559208,7.617017041,7.617017041,7.617017041,0.010789666,17.59821321,,[-0.25375],[-0.2975],[1],[0],[0],[0.051015000000006694],[None],,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,1,1,0,,,_oo_,Book,old,,[],[],[],[],[],[],[],,,,,0,1,1,13,17.61110279,,,,,,,,17.60264504,17.61110279,17.61110279,17.61110279,0.00487175,27.59840975,,[],[],[],[],[],[],[],,,,,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,2,2,0,,,bo_t_e,Bottle,new,,[],[],[],[],[],[],[],,,,,0,2,2,18,27.60866846,,,,,,,,27.6015185,27.60866846,27.60866846,27.60866846,0.0037435,37.59135471,,[],[],[],[],[],[],[],37.60213162,37.60213162,37.60213162,9.993293333,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,3,3,0,,,P_st_r,Poster,old,,[],[],[],[],[],[],[],,,,,0,3,3,9,37.60213162,,,,,,,,37.59596725,37.60213162,37.60213162,37.60213162,0.00441375,47.59220496,,[],[],[],[],[],[],[],47.60208742,47.60208742,47.60208742,9.994189041,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,4,4,0,,,_ru_s_,Cruise,old,,[],[],[],[],[],[],[],,,,,0,4,4,6,47.60208742,,,,,,,,47.59543304,47.60208742,47.60208742,47.60208742,0.004356166,57.59233758,,[],[],[],[],[],[],[],57.60241454,57.60241454,57.60241454,9.994321291,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
,5,5,0,,,ta_l_,Table,new,,[],[],[],[],[],[],[],,,,,0,5,5,15,57.60241454,,,,,,,,57.59572483,57.60241454,57.60241454,57.60241454,0.004686,67.59230696,,[],[],[],[],[],[],[],67.60239446,67.60239446,67.60239446,9.994296125,p,1,2024-10-25_12h03.27.389,priming,2024.2.1,None,2024-10-25 12h03.32.956545 +0530
